,osing,indonesia
102,seru temenan omongan riko,betul-betul sekali ucapan kamu
103,wanenan lare iku,beranian anak itu
104,mbenu temenan lare iku,bandel sekali anak itu
105,cengkal lare iku diomongi,bandel
106,gujreh mulute lare iku madhang,belepotan mulut anak itu makan
107,ngempos bis iku ring terminal,berhenti bis itu di terminal
108,sarehne udan isun heng dadi budhal,berhubung hujan saya tidak jadi berangkat
109,pernah isun ring kene,betah saya di sini
110,pecak sikile polae ceblok,bekas kakinya karena jatuh
111,kempol sikile gedhig seru,betis kakinya besar sekali
112,mernahi ati isun ring kene,bikin betah hati saya di sini
113,celathu mak isun polae isun nakal,bicara marah ibu saya karena saya nakal
114,blambyangan tanah kelahiranku,blambangan tanah kelahiranku
115,gubab temenan riko,bohong sekali kamu
116,lencur maning lare iku,bolos lagi anak itu
117,wuwunyan umah iku dhuwur seru,bubungan rumah itu tinggi sekali
118,mingis ae lawang iku,buka sedikit saja pintu itu
119,jemblang lawang iku,buka lebar-lebar pintu itu
120,ulan nduweni cahya,bulan memiliki cahaya
121,kembang sepatu iku wernane abang,bunga sepatu itu warnanya merah
122,bongol temenan riko,bodoh sekali kamu
123,belog temenan lare iku,bodoh sekali anak itu
124,dongong polae lali terus,bodoh dan pelupa karena lupa terus
125,engekno lawang iku,bukakan pintu itu
126,bliyak lawang iku,buka pintu itu
127,buyang sampah iku,buang sampah itu
128,puthuk iku dhuwur seru,bukit itu tinggi sekali
129,cengkir iku seger temenan,buah kelapa yang masih sangat muda itu segar sekali
130,gopoh isun polae telat,buru-buru saya karena terlambat
131,cerret kaget isun,busyett kaget saya
132,nagud oro lare iku nakal seru,busyeet dah anak itu nakal sekali
133,celleng oro omongan riko kasar seru,busyet ucapan kamu kasar sekali
134,golek iwak ring kali,cari ikan di sungai
135,golekeno banyu dinggo isun,carikan air untuk saya
136,gancang mlaku,cepat jalan
137,gromyoh atine lare iku,ceria hati anak itu
138,ampah temenan gawene,ceroboh sekali pekerjaannya
139,dekok lemah ring ngarep umah,cekung
140,jelekong ban iku polae bocor,cekung ke bawah
141,perdang-perding lare iku nyari makne,celingukan anak itu mencari ibunya
142,cupar atine wong wadon iku,cemburu hati wanita itu
143,sigunen isun madhang cepet-cepet,cigukan saya makan cepat-cepat
144,ambung kembang iki,cium bunga ini
145,ngambung tangan mak,mencium tangan ibu
146,gelang alit iki larang seru,cincin ini mahal sekali
147,demen isun marang riko,cinta saya padamu
148,erus dinggo nyiduk jangan,ciduk sayur
149,acake dhisik rasane,coba dulu rasanya
150,tulodho kang becik kudu ditiru,contoh yang baik harus ditiru
151,doyong wit iku arep rubuh,condong pohon itu mau roboh
152,mung siji hang isun jaluk,cuma satu yang saya minta
153,ketimbyang isun nangis banguryan isun meneng,daripada saya menangis lebih baik saya diam
154,dibiarkan ae lare iku nangis,dibiarkan saja anak itu menangis
155,lebu ring ngarep umah akeh seru,debu di depan rumah banyak sekali
156,parek seru umahe karo pasar,dekat sekali rumahnya dengan pasar
157,di apeni isun karo kancane,dibohongi saya oleh temannya
158,ndumpak lawang iku,depak sepak terjang pintu itu
159,kambi sapa riko teko,dengan siapa kamu datang
160,takal-takalan isun nggolek duwit,dengan segala upaya saya mencari uang
161,ring umah isun seneng seru,di rumah saya senang sekali
162,di uwel isun karo bapak,dimarahi saya oleh bapak
163,dikapak barang iki,diapakan barang ini
164,digowo ae barang iki,dibawa saja barang ini
165,diterak tas iku karo motor,dibawa dan terseret tas itu oleh motor
166,diered lemah iku,diseret tanah itu
167,longan ring ngisor amben,di bawah tempat tidur
168,potheng-potheng roti iku,dipotong-potong menggunakan tangan
169,nclob iwak ring banyu,dimasukkan ke air ikan di air
170,yane wis teko,dia sudah datang
171,diparoti duwit iku,disimpan uang itu
172,bengen isun cilik seru,dulu saya kecil sekali
173,wingek isun teko ring kene,dulu sekali saya datang di sini
174,sulung isun mangkat,duluan saya berangkat
175,njebebeh lambene polae diantem,dower
176,embuh arep menyang endi,entah mau pergi ke mana
177,alung madhang sego tiwul,enakan makan nasi tiwul
178,ancang seru banyu iki,encer sekali air ini
179,sungkan isun mangkat dewekan,enggan saya berangkat sendirian
180,amperu isun loro seru,empedu saya sakit sekali
181,bukung buntute kucing iku,ekor terpotong ekor kucing itu
182,kecoh seru omongane,fasih
183,ganjur iku dawa seru,galah panjang itu panjang sekali
184,sengget dinggo njupuk woh-wohan,galah untuk mengambil buah-buahan
185,genten isun saiki,ganti saya sekarang
186,gentenan nyapu plataran,gantian menyapu halaman
187,abete riko nggarai isun gemes,gayamu kamu membuat saya gemas
188,garit ring dalan iku lurus seru,garis di jalan itu lurus sekali
189,gredoan mak isun marang bapak,gurau
190,ongkeb awak isun polae panas,gerah
191,ontrag wong-wong ring pasar,gempar orang-orang di pasar
192,gemerojhog banyu kali,gemericik air sungai
193,jumbleng dalan iku,gelap jalan itu
194,aclak temenan gaya bicare,gaya bicara yang ekspresif dinamis dan dramatis sekali
195,tatak atine ngadepi cobaan,gigih hatinya menghadapi cobaan
196,patheng nyambut gawe,giat bekerja
197,gurau isun karo kanca-kanca,gurau saya dengan teman-teman
198,muyab temenan omongane,gurau sekali ucapannya
199,nderini awak isun polae adem,gemetar badan saya karena dingin
200,gempung roti iku,gosong roti itu
201,jibros rambute wong iku,gondrong dan kumal rambut orang itu
202,campak temenan jangan iki,hambar sekali sayur ini
203,lutrek umah iku polae rubuh,hancur rumah itu karena rubuh
204,bebeng maling iku,hadang maling itu
205,serantan ae aja kesusu,hati-hati
206,cubok iku medeni,hantu itu menakutkan
207,mung riko hang isun demen,hanya kamu yang saya cinta
208,sait maling iku,hajar maling itu
209,krutugh wong-wong marang maling,hajar beramai-ramai orang-orang kepada maling
210,gempung roti iku polae diobong,hangus roti itu karena dibakar
211,ruces wong-wong ring pasar,heboh orang-orang di pasar
212,depani cobaan iki kanthi sabar,hadapi cobaan ini dengan sabar
213,cemeng kucing iku,hitam kucing itu
214,reko duwit iki,hitung uang ini
215,nggelinseng wernane ireng iku,hitam sekali warnanya hitam itu
216,gothang duwit isun,hilang sedikit uang saya
217,mamut ae pikiran isun,hilang
218,suloyo janjine,ingkar janjinya
219,enget seru isun marang riko,ingat sekali saya padamu
220,mak isun ayu seru,ibu saya cantik sekali
221,rabi isun pinter masak,istri saya pandai masak
222,pakpok utange,impas hutangnya
223,idek sikile lare iku,injak kakinya anak itu
224,gejroh lemah iku,injak dengan keras tanah itu
225,cancang tali iku,ikat tali itu
226,ketheni pitik iku,ikat ayam itu
227,inceng lare iku lagi ngapa,intip anak itu lagi apa
228,kuryangen madhang sego rawon,ingin lagi makan nasi rawon
229,prandane isun ngerti,itulah makanya saya tahu
230,pocok-pocok ae,jadi-jadi saja
231,lurung iku sepi seru,jalan itu sepi sekali
232,nggeledrek isun nang sore,jalan-jalan keluar rumah saya sore
233,driji isun loro,jari saya sakit
234,temebluk lare iku saka wit,jatuh anak itu dari pohon
235,cicir buah iku saka wit,jatuh dari atas buah itu dari pohon
236,keseliring isun ring dalan,jatuh karena salah jalan saya di jalan
237,kejiglang lare iku,jatuh tersandung
238,ugo isun melu,juga saya ikut
239,tibo kesereb lare iku,jatuh tertelungkup anak itu
240,kawus isun diomongi,jera saya dinasihati
241,papag lare iku,jemput anak itu
242,ojo papak isun teko,jangankan saya datang
243,ngelepek lare iku ring pasar,jalan-jalan tak menentu anak itu di pasar
244,tayongan lare iku,berjalan anak itu
245,sontok maling iku,jotos maling itu
246,carok isun karo kanca lawas,jumpa saya dengan teman lama
247,perkul dinggo nebang wit,kampak untuk menebang pohon
248,siro arep menyang endi,kamu mau pergi ke mana
249,kusut kain lap iki,kain lap ini kusut
250,kekok tangane polae kaku,kaku tangannya karena kaku
251,ngelencur tim isun,kalah sebelum bertanding tim saya
252,tasemak iku larang seru,kacamata itu mahal sekali
253,kang isun pinter seru,kakak laki-laki saya pandai sekali
254,mbok isun ayu seru,kakak perempuan saya cantik sekali
255,kang ilik isun nakal,kakak yang masih kecil saya nakal
256,polae udan isun heng dadi budhal,karena hujan saya tidak jadi berangkat
257,kagum isun karo kembang iku,kagum saya dengan bunga itu
258,kadhak riko teko isun seneng,kalau kamu datang saya senang
259,kalah cacak menang apruo hang penting melu,kalah menang urusan belakang yang penting ikut
260,kakik isun wis tuwek seru,kakek saya sudah tua sekali
261,welas asih karo sesama,kasih sayang kepada sesama
262,hun tanggo riko mau nyang pasar,saya kira kamu ke pasar
263,wingyenanek isun teko ring kene,kemarin saya datang di sini
264,sabhane isun menyang jakarta,kemarin saya pergi ke jakarta
265,apuo riko nangis,kenapa kamu menangis
266,kayalen atine arep melu,keinginan yang menggebu hatinya mau ikut
267,keneng musibah isun,kena musibah saya
268,gegeten lare iku krungu bledheg,ketakutan sekali anak itu mendengar petir
269,kuryangen madhang sego pecel,ketagihan makan nasi pecel
270,rencek seru barang iku,kecil
271,cilil semut iku,kecil sekali semut itu
272,kejobo riko isun heng demen sapa-sapa,kecuali kamu saya tidak cinta siapa-siapa
273,bucur kepalane polae ceblok,kepala yang berdarah kepalanya karena jatuh
274,kimbyang-kimbyang banyu kali,kebanyakan air sungai
275,tumyan ngopi saben sore,kebiasaan
276,mongod-mongod isun madhang,kenyang
277,tuwuk isun madhang,kenyang sering puas saya makan
278,kenthel seru kopi iku,kental sekali kopi itu
279,wangkot lare iku diomongi,keras kepala anak itu dinasihati
280,karipan isun tangi isuk,kesiangan
281,getuh banyu kali iku,keruh air sungai itu
282,kecaruk isun karo kanca lawas,ketemu saya dengan teman lama
283,keseron-seron omongane,keterlaluan ucapannya
284,kejolok banyu ring ember,kebanyakan air di ember
285,heng umyan isun panganan,tidak kebagian saya makanan
286,reki rambute lare iku,ketombe rambut anak itu
287,dhempak tangane wong iku,kekar tangannya orang itu
288,atos kayu iku,keras
289,ilir dinggo ngipas,kipas untuk mengipas
290,ilir-ilir lare iku,kipas-kipas anak itu
291,wowong rambute nganggo sampo,kramas rambutnya memakai sampo
292,kenyab temenan lare iku,konyol sekali anak itu
293,coret dinggo nyumet rokok,korek api untuk menyulut rokok
294,belebegh klambine lare iku,kotor sekali bajunya anak itu
295,sbrak klambi iku,koyak baju itu
296,bongak klambine,koyak bajunya
297,bered kertas iku,koyak kecil kertas itu
298,kenci awak isun,kurus badan saya
299,tatag atine ngadepi cobaan,kuat hatinya menghadapi cobaan
300,pethekel badane wong iku,kuat gagah berotot badannya orang itu
301,kencet jeruk iku,kupas jeruk itu
302,penging lare iku dolanan,larang anak itu bermain
303,kemelser omongane,lancar ucapannya
304,cabyak temenan wong iku,lantang sekali orang itu
305,uwel lare iku,larang
306,di uwel lare iku karo makne,dilarang dengan marah-marah anak itu oleh ibunya
307,lesuh awak isun,letoy lemas badan saya
308,anguryan mangan tempe,lebih baik makan tempe
309,maning duwit isun,lagi uang saya
310,lawas seru isun ngenteni,lama sekali saya menunggu
311,luwas klambi lawas iku,lama
312,gyaros dodolan kopi,laris jualan kopi
313,dyamar iku padang seru,lampu itu terang sekali
314,dyamar telempek dinggo penerangan,lampu lentera untuk penerangan
315,lancing iku pinter seru,lelaki belum menikah itu pandai sekali
316,coplok sepatune,lepas sepatunya
317,benthuk watu iku,lempar batu itu
318,uncal bola iku,lempar bola itu
319,lemon daging sapi iku,lemak daging sapi itu
320,muncal-muncal bola iku,terlempar beberapa kali bola itu
321,clorong watu iku,lempar dengan sengaja batu itu
322,lesuh awak isun,lemas badan saya
323,diclorongaken bal iku,dilemparkan bola itu
324,diclorong-clorongaken bal iku,dilempar-lemparkan bola itu
325,jangged lem iku,lengket lem itu
326,miyut seru udan iki,lebat sekali hujan ini
327,wero seru plataran umah,luas sekali halaman rumah
328,jelowokan lemah iku,lubang kecil tanah itu
329,juglangan lemah iku,lubang besar tanah itu
330,genjur buah iku,lunak sekali buah itu
331,borok sikile lare iku,luka
332,belethok dalan iku,lumpur jalan itu
333,lunyau dalan iku,licin jalan itu
334,semat dinggo nyulut geni,lidi untuk menyulut api
335,liwyat isun ring ngarep umah riko,lewat saya di depan rumah kamu
336,delengen tah kembang iku ayu seru,lihatlah bunga itu cantik sekali
337,mlencung lare iku,lompat anak itu
338,lucau temenan tingkahe,lucu sekali tingkahnya
339,mengan lare iku,main anak itu
340,diewel-ewel dolanan iku,dipermainkan mainan itu
341,lodhong riko,mampus kamu
342,lodhong iro nekat temenan,mampus kau nekat sekali
343,endane riko wis teko,masak? kamu sudah datang
344,using tah riko arep melu,masak iya? kamu mau ikut
345,jembung dinggo banyu,mangkok untuk air
346,mateng buah mangga iku,masak mangga itu
347,nyunyur buah mangga iku,masak sekali mangga itu
348,kesemek-kesemek rasane,mantap sekali rasanya
349,sowok dinggo ngobati wong lara,mantra untuk mengobati orang sakit
350,rapuh mantrane dinggo pertandingan,mantra untuk pertandingan
351,sowok dinggo ngobati,mantra untuk pengobatan
352,sowok tenung sihir dinggo kejahatan,mantra untuk kejahatan
353,pesengan dinggo nglindhungi umah,mantra yang ditempatkan di suatu tempat untuk melindungi rumah
354,moring atine wong iku,marah hati orang itu
355,kebes geni iku,matikan api itu
356,madhyang isun saiki,makan saya sekarang
357,endyane riko teko,masak? kamu datang
358,using tah riko gelem melu,masak? kamu mau ikut
359,magih isun ring kene,masih saya di sini
360,moto isun loro,mata saya sakit
361,gemulyak banyu iku,mendidih air itu
362,kenyab lare iku mempermainkan wong tuwek,konyol anak itu mempermainkan orang tua
363,masio udan isun tetep budhal,meskipun hujan saya tetap berangkat
364,ngampar lare iku ring tali,meniti jalan agar tidak jatuh anak itu di tali
365,setalangan ono paran siro ring konok,memang ada apa kamu di sana
366,aluk tuku sing anyar,mendingan beli yang baru
367,lodhok duwit ring celengan,memasukkan sesuatu ke lubang uang di celengan
368,gumbleng kuping isun krungu suwara iku,memekakkan telinga saya mendengar suara itu
369,kenyes-kenyes rasane buah iku,menggairahkan rasanya buah itu
370,melengon isun marang omongane,menghiraukan
371,caring awak isun ring srengenge,menjemur badan biar kering saya di matahari
372,mungkruk wit iku,merunduk pohon itu
373,ongkal lading iku,mengasah pisau itu
374,heng melengon isun marang omongane,tidak menghiraukan saya kepada ucapannya. tersebar
375,heng melengon isun marang omongane,semebyar
376,bingkak atine wong iku,menyamakan hati orang itu
377,muronai minuman iku,menyebabkan mabuk minuman itu
378,apuwo riko nangis,mengapa kamu menangis
379,mijo iku anyar,meja itu baru
380,melekintheng ulog iku,melingkar ular itu
381,ndol tingkahe lare iku,menggelikan tingkah anak itu
382,mancad lemah iku,menginjak tanah itu
383,sait musuh iku,melepaskan serangan tangan musuh itu
384,meledos ban iku,meletus ban itu
385,ngambul lare iku,merajuk anak itu
386,kapuronto wernane kembang iku,merah muda warnanya bunga itu
387,ngambulan lare iku,suka merajuk anak itu
388,mberanang wajahe lare iku,merona wajahnya anak itu
389,kimples klambine lare iku,menyusut bajunya anak itu
390,tedyas mantra iku,mempan mantra itu
391,ludhek tangan ring banyu,memasukkan tangan ke air
392,mungkasai gawean iki,menyelesaikan pekerjaan ini
393,mungub gunung iku,menyembul gunung itu
394,puges wit iku,memanggal pohon itu
395,ludhang pintu iku,membuka yang ditunggu pintu itu
396,gebros awak iku,membersihkan ke badan dengan alat yang tidak membahayakan badan itu
397,sabrang kali iku,menyeberang sungai itu
398,bongko pitik iku,mati ayam itu
399,uneg-unegen isun madhang,malas makan karena aromanya saya makan
400,bojog iku nakal seru,monyet itu nakal sekali
401,tempong mulute lare iku,mulut yang ditampar mulutnya anak itu
402,luwyak iku nyolong pitik,musang itu mencuri ayam
403,emok atine wong iku,marah gak menentu hati orang itu
404,moreng atine wong iku,marah hati orang itu
405,lengo gas dinggo lampu,minyak tanah untuk lampu
406,unyeng-unyengan isun ring dalan,mutar-mutar tersesat saya di jalan
407,meloncrot banyu saka kran,muncrat air dari kran
408,melekok isun polae masuk angin,muntah saya karena masuk angin
409,katon wajahe saka kadohan,nampak wajahnya dari kejauhan
410,embyah isun wis sepuh,nenek saya sudah tua
411,mbenu lare iku,nakal anak itu
412,tuwyas isun teko riko wis budhal,nanti malah saya datang kamu sudah berangkat
413,aran isun budi,nama saya budi
414,gurih masakan iki,nikmat masakan ini
415,sokheh rasane panganan iki,nikmat sekali rasanya makanan ini
416,mernahi ati ring kene,nyaman hati di sini
417,gyayab atine arep dolanan,nafsu sekali semangat hatinya mau bermain
418,ningguli sampah iku,nutupi sampah itu
419,ketinggulyan duwit iku,ketutupan uang itu
420,boreh minyak ring awak,oles minyak di badan
421,lare iku pinter seru,orang itu pintar sekali
422,wong osing iku ramah seru,orang osing itu ramah sekali
423,wong tuwyek iku wiseh,orang tua itu bijaksana
424,emong isun melu,ogah saya ikut
425,sir-siran iku ayu seru,pacar itu cantik sekali
426,byakalan lare iku,pacaran anak itu
427,pokang sikile lara,paha kakinya sakit
428,lilo isun marang takdir,pasrah saya kepada takdir
429,lilakeno atine,pasrahkan hatinya
430,saliho dhisik wis diwenehi,padahal sudah dikasih
431,tratag dinggo pentas,panggung untuk pentas
432,belabag iku dawa,papan itu panjang
433,wejek jeruk iku,peras jeruk itu
434,kebes geni iku,padam api itu
435,nai isun gelem melu,paling-paling saya mau ikut
436,seru temenan omongane,paling sekali ucapannya
437,ngyampung pari ring sawah,panen padi di sawah
438,laré ndoh pek thulik,panggilan pasaran dab  rek
439,kuthung sikile lare iku,patah kakinya anak itu
440,ukuryane riko wis ngerti,pastinya kamu sudah tahu
441,kacangan atine lare iku,penakut hati anak itu
442,desok kaleng iku,peyot kaleng itu
443,jelekong kaleng iku,peyot ke bawah kaleng itu
444,bencah gelas iku,pecah gelas itu
445,sewelan kaca iku,pecah berkeping-keping kaca itu
446,dywhoss penampilane,penampilan yang kumuh
447,mamblegk banyu ring ember,penuh air di ember
448,penyar pikiran isun,pikiran jadi plong saya
449,lading dinggo motong,pisau untuk memotong
450,boding dinggo nebang,parang untuk menebang
451,sale gedhang goreng sabun,pisang selai pisang goreng sabun
452,pethal piring iku,pecah piring itu
453,rumyatan pitik iku,peliharaan ayam itu
454,juwyari atine lare iku,percaya diri hati anak itu
455,edheng-edheng ae mlaku,pelan-pelan saja jalan
456,kekeb dinggo nutup masakan,penutup masakan  untuk menutup masakan
457,gyati marang wong tuwek,perhatian kepada orang tua
458,ibukeno solong lare ikau,perhatikan dulu anak itu
459,melid temenan wong iku,pelit sekali orang itu
460,kumed temenan wong iku,pelit sekali orang itu
461,pesantikan keris iku,pegangan senjata keris itu
462,kawitan isun teko,pertama saya datang
463,getap atine lare iku,penakut hati anak itu
464,candhak tangan isun,pegang tangan saya
465,senuk iku teko,psk itu datang
466,sunggrak dinggo jebakan,perangkap duri besar untuk jebakan
467,gebros awak isun,pukul pakai barang yang tidak membahayakan badan saya
468,sampat lare iku,pukul pakai kayu anak itu
469,mbongkok wit iku,pukul pakai kayu daun kelapa pohon itu
470,jhemethot pukulan iku,pukulan telak itu
471,jhemekok sikile lare iku,terkena telak kakinya anak itu
472,suwing tali iku,putus tali itu
473,unyeng-unyeng kepala isun,putar-putar kepala saya
474,lenged seru kipas iku,putar kencang sekali kipas itu
475,ipek-ipek lare iku,putar di tempat anak itu
476,campleng gawean iki,putus pekerjaan ini
477,towok isun madhang,puas saya makan
478,boyokk isun loro,punggung saya sakit
479,munyer kepala isun,pusing kepala saya
480,sangkrah bambu iku,ranting bambu itu
481,mang-mangen atine,ragu-ragu hatinya
482,royak wong-wong ring pasar,ramai orang-orang di pasar
483,gomprang swarane,ribut suaranya
484,kerahang wong iku madhang,rakus orang itu makan
485,byangsong temenan wong iku,rakus sekali orang itu
486,rotok lemah iku,rata tanah itu
487,mrongkol dalan iku,tidak rata jalan itu
488,bengkah kaca iku,retak kaca itu
489,suwek klambi iku,robek baju itu
490,bugreh umah iku,rombak rumah itu
491,njepopor wajahe lare iku,rusak  wajahnya anak itu
492,berrek sepatu iku,rusak sampai berair sepatu itu
493,galir gawean iku,rusak pekerjaan itu
494,lekrekan mobil iku,rusak parah mobil itu
495,umyah isun cilik,rumah saya kecil
496,byalek dinggo nampa tamu,ruang tamu untuk menerima tamu
497,pawon dinggo masak,ruang dapur untuk masak
498,epek dinggo ngencengi kathok,sabuk untuk mengencangkan celana
499,beloko ae,saja saja
500,serang atine wong iku,saking hatinya orang itu
501,kebabyas isun ring dalan,salah jalan saya di jalan
502,taker umah riko,sampai rumah kamu
503,gadug isun menyang jakarta,sampai tujuan saya pergi ke jakarta
504,deketan ring plataran,sampah di halaman
505,pengasihan dinggo narik perhatian,santet untuk menarik perhatian
506,tenung dinggo nyelakai wong,sihir magis hitam untuk mencelakai orang
507,sowok dinggo ngobati,sowok magis putih untuk mengobati
508,kari ayu lare iku,sangat cantik anak itu
509,sawen ijo seru,sawi hijau sekali
510,isun seneng karo riko,saya suka dengan kamu
511,lamat-lamat suwara adzan,sayup-sayup suara azan
512,serwiwi pitik iku dawa,sayap ayam itu panjang
513,eman barang iki dibuwang,sayang barang ini dibuang
514,welas isun marang riko,sayang saya kepadamu
515,jangan asem seger seru,sayur asam segar sekali
516,jangan tombol iku enak seru,sayur nangka itu enak sekali
517,jangan lerobyan iku seger seru,sayur dari belondo itu segar sekali
518,slorogyan dinggo nyimpen barang,laci untuk menyimpan barang
519,sleregyan pintu iku,slide pintu itu
520,sarang udan,sarang mencegah hujan
